FPKM.s_brain	FPKM.s_liver
0	0
0	0
0	0
2.100645	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.055441	1.478206
0	0
1.388034	0.709549
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5.109058
17.30826	21.981258
0	0
0	0
0	0
0.012106	1.783797
0	0
0	0
0	0
30.513401	76.128281
0	0
0	0
0	0
0	0
0	0
0	0
0	0
42.814846	42.69978
7.537365	0
7.181982	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.012595	28.516226
0	0
0	0
0	0
0	0
0	0
39.890114	0
12.682944	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5.265116	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.680059	0.155997
0	0
0	0
0	0
0.009509	0.004114
3.705039	1.386222
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
33.182358	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.397197	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6.123537	4.076636
9.386928	10.782941
0	17.070133
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
114.479256	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3.929966
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.000521	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.019471	1.993217
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4.229365
0	0
0	0
0	0
0.321523	0
0	0
0	0
0	0
0	0
0	0
0	0
32.016964	18.42268
0	0
0	0
0	0
0	0
0	0
0	0
0	0.025975
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1.89982	0
